2015-12-28 06:30:05 status half-installed ncurses-bin:amd64 5.9+20140913-1+b1
2015-12-28 06:30:05 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2015-12-28 06:30:05 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2015-12-28 06:30:05 install libpam-modules:amd64 <none> 1.1.8-3.1
2015-12-28 06:30:05 status half-installed libpam-modules:amd64 1.1.8-3.1
2015-12-28 06:30:06 status unpacked libpam-modules:amd64 1.1.8-3.1
2015-12-28 06:30:06 status unpacked libpam-modules:amd64 1.1.8-3.1
2015-12-28 06:30:06 install libpam-modules-bin:amd64 <none> 1.1.8-3.1
2015-12-28 06:30:06 status half-installed libpam-modules-bin:amd64 1.1.8-3.1
2015-12-28 06:30:06 status unpacked libpam-modules-bin:amd64 1.1.8-3.1
2015-12-28 06:30:06 status unpacked libpam-modules-bin:amd64 1.1.8-3.1
2015-12-28 06:30:07 install libpam-runtime:all <none> 1.1.8-3.1
2015-12-28 06:30:07 status half-installed libpam-runtime:all 1.1.8-3.1
2015-12-28 06:30:07 status unpacked libpam-runtime:all 1.1.8-3.1
2015-12-28 06:30:07 status unpacked libpam-runtime:all 1.1.8-3.1
2015-12-28 06:30:07 install libpam0g:amd64 <none> 1.1.8-3.1
2015-12-28 06:30:07 status half-installed libpam0g:amd64 1.1.8-3.1
2015-12-28 06:30:07 status unpacked libpam0g:amd64 1.1.8-3.1
2015-12-28 06:30:07 status unpacked libpam0g:amd64 1.1.8-3.1
2015-12-28 06:30:07 install libpcre3:amd64 <none> 2:8.35-3.3
2015-12-28 06:30:07 status half-installed libpcre3:amd64 2:8.35-3.3
2015-12-28 06:30:08 status unpacked libpcre3:amd64 2:8.35-3.3
2015-12-28 06:30:08 status unpacked libpcre3:amd64 2:8.35-3.3
2015-12-28 06:30:08 upgrade perl-base:amd64 5.20.2-3+deb8u1 5.20.2-3+deb8u1
2015-12-28 06:30:08 status half-configured perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:30:08 status unpacked perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:30:08 status half-installed perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:30:09 status half-installed perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:30:09 status unpacked perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:30:09 status unpacked perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:30:09 install libprocps3:amd64 <none> 2:3.3.9-9
